hip	spect	ext	sigma_ext
6403	G0V:	-0.17	0.06
6405	G3V	-0.02	0.01
6408	G6/G8III/IV	-0.14	0.03
6409	K0III	-0.13	0.03
6419	A0III:	-0.08	0.01
6422	G0V	-0.04	0.01
6426	K1III	-0.06	0.01
6430	M5III:	-0.66	0.08
6440	K1III	-0.12	0.01
6455	G5V	-0.02	0.01
6489	K7V:	-0.09	0.01
6495	K0III	-0.14	0.02
6496	G0V:	-0.07	0.02
6503	G0V:	-0.14	0.03
6530	K7III:	-0.31	0.03
6539	F0V	-0.07	0.01
6542	G5V:	-0.09	0.02
6570	K7V:	-0.28	0.02
6591	K0III	-0.03	0.00
6602	K5III:	-0.35	0.02
6604	K0III:	-0.09	0.02
6609	M6III	-0.39	0.03
6631	M0III	-0.01	0.00
6638	G0V:	-0.17	0.02
6639	K5V:	-0.12	0.01
6660	K8V:	-0.26	0.00
6709	F0V:	-0.04	0.01
6714	K0III:	-0.08	0.01
6783	K2III:	-0.07	0.02
6786	F6V	-0.05	0.01
6810	K1III	-0.06	0.02
6818	K7V:	-0.18	0.02
6823	A0III	-0.03	0.01
6826	G5V:	-0.24	0.03
6828	K0III	-0.04	0.01
6833	G5V:	-0.02	0.00
6834	K7V:	-0.12	0.01
6835	K0III	-0.11	0.01
6848	A1V:	-0.10	0.00
6859	F3IV/V	-0.05	0.02
6872	B9V:	-0.03	0.00
6886	K3III	-0.11	0.01
6906	K5III:	-0.20	0.05
6912	K5III:	-0.12	0.02
6941	A0V:	-0.03	0.00
6972	K7V:	-0.20	0.00
6984	F5V:	-0.03	0.00
6999	K0III	-0.03	0.00
7001	K0III	-0.19	0.03
7017	G3V	-0.02	0.01
7025	G0V:	-0.09	0.03
7026	K1III	-0.09	0.02
7058	K7V:	-0.10	0.02
7059	K0III:	-0.06	0.01
7071	F5V:	-0.05	0.02
7089	G3V	-0.07	0.00
7109	G5V	-0.01	0.00
7146	G5V:	-0.05	0.00
7166	K3III	-0.05	0.01
7199	K1III	-0.18	0.02
7208	M3III	-0.16	0.04
7217	G5V:	-0.06	0.01
7222	A0III	-0.04	0.01
7230	K5III:	-0.18	0.03
7234	A0V:	-0.09	0.00
7235	K0V	-0.04	0.01
7242	K1III	-0.07	0.02
7273	K1III	-0.09	0.02
7279	F8V:	-0.12	0.01
7284	G0V	-0.02	0.00
7289	M4III	-0.11	0.01
7294	K0III	-0.04	0.00
7308	G3V	-0.02	0.01
7333	M0V:	-0.23	0.02
7339	G6V	-0.01	0.00
7340	K0III	-0.09	0.01
7347	K5III:	-0.31	0.02
7349	K1III	-0.13	0.02
7359	M2III	-0.07	0.01
7395	K0V:	-0.05	0.00
7415	K1III	-0.18	0.03
7421	K1III	-0.08	0.02
7439	K0III:	-0.04	0.01
7454	K7V:	-0.10	0.02
7459	G0V:	-0.06	0.01
7467	K1V	-0.09	0.02
7496	M3III	-0.13	0.02
7501	F8III:	-0.11	0.02
7506	M3III	-0.04	0.01
7551	A3III	-0.06	0.01
7563	K0III:	-0.08	0.01
7568	K0III	-0.09	0.00
7585	G5V	-0.03	0.01
7590	K5III:	-0.10	0.02
7607	K3III	-0.02	0.00
7610	K2III	-0.03	0.01
7613	G5V:	-0.07	0.02
7620	M3V:	-0.96	0.06
7634	K2III:	-0.04	0.00
7647	M7III	-0.77	0.11
7655	K8V:	-0.22	0.02
7659	F8V:	-0.11	0.00
7660	K5III:	-0.12	0.02
7661	G8III	-0.20	0.02
7676	B9V	-0.01	0.00
7677	G5V:	-0.21	0.03
7687	K0V	-0.02	0.00
7708	K3III	-0.09	0.02
7719	G8III	-0.05	0.00
7721	K2III	-0.05	0.00
7740	K2III	-0.08	0.02
7743	M0V:	-0.25	0.01
7774	G5V:	-0.30	0.03
7793	K0III:	-0.08	0.01
7794	K8V:	-0.15	0.02
7826	K5III:	-0.29	0.03
7837	K0III	-0.06	0.02
7885	G5V	-0.03	0.00
7898	F3V	-0.02	0.00
7906	K0III	-0.02	0.00
7918	G2V	-0.01	0.00
7919	F8V:	-0.07	0.00
7930	K8V:	-0.16	0.02
7932	K0III	-0.11	0.02
7935	G0V:	-0.11	0.02
7938	K0III	-0.10	0.01
7946	G0V:	-0.09	0.02
7954	K1III/IV	-0.15	0.02
7955	K1II/III	-0.06	0.01
7965	A0V:	-0.03	0.00
7966	G5V:	-0.25	0.04
8026	K2III:	-0.15	0.03
8033	K7V:	-0.25	0.02
8052	K1III	-0.03	0.01
8084	K1III	-0.19	0.02
8086	G8III-IV	-0.05	0.01
8096	G0V:	-0.14	0.01
8104	G8III:	-0.35	0.04
8113	G5III:	-0.21	0.02
8117	K1III	-0.11	0.02
8119	K0V:	-0.03	0.01
8127	K5III	-0.03	0.01
8160	M2III	-0.03	0.01
8178	K0III	-0.04	0.01
8207	K2III:	-0.24	0.02
8210	A2V:	-0.08	0.01
